学校名,都道府県,担当者,区分
姶良市立加治木中学校,鹿児島,児浦,既存
姶良市立帖佐中学校,鹿児島,児浦,既存
鹿児島市教育委員会,鹿児島,児浦,既存
鹿児島市立喜入中学校,鹿児島,児浦,既存
鹿児島市立吉野東中学校,鹿児島,児浦,既存
鹿児島市立皇徳寺中学校,鹿児島,児浦,既存
鹿児島市立星峯中学校,鹿児島,児浦,既存
鹿児島市立清水中学校,鹿児島,児浦,既存
鹿児島市立西紫原中学校,鹿児島,児浦,既存
鹿児島市立長田中学校,鹿児島,児浦,既存
川島学園れいめい中学校,鹿児島,児浦,既存
日置市立伊集院北中学校,鹿児島,児浦,既存
CLARK SMART千葉,千葉,野崎,既存
CLARK SMART東京,東京,SD,既存
アレセイア湘南高等学校,神奈川,井上,既存
イオンリテール株式会社南関東カンパニー,神奈川,井上,既存
いちご株式会社,神奈川,井上,既存
オイスカ浜松国際高等学校,静岡,井上,既存
かえつ有明高等学校,東京,関,既存
かえつ有明中学校,東京,井上,既存
クラークNEXT高等学校 秋葉原キャンパス,東京,吉岡,既存
クラーク記念国際高等学校 横浜キャンパス,神奈川,吉岡,既存
クラーク記念国際高等学校 横浜青葉キャンパス,神奈川,三田,既存
クラーク記念国際高等学校 厚木キャンパス,神奈川,香取,既存
クラーク記念国際高等学校 静岡キャンパス,静岡,田中,既存
クラーク記念国際高等学校 千葉キャンパス,千葉,野崎,既存
クラーク記念国際高等学校 東京キャンパス,東京,田中,既存
クラーク記念国際高等学校 柏キャンパス,千葉,深町,既存
クラーク記念国際高等学校 立川キャンパス,東京,香取,既存
クラーク記念国際高等学校浜松キャンパス,静岡,井上,既存
クラーク記念国際中等部 東京キャンパス,東京,田中,既存
サレジアン国際学園世田谷高等学校,東京,早﨑,既存
サレジアン国際学園世田谷中学校,東京,早﨑,既存
トキワ松学園高等学校,東京,丸谷,既存
ドルトン東京学園高等部,東京,井上,既存
ドルトン東京学園中等部,東京,井上,既存
ビヨンドトゥモロー,,井上,既存
フェリス女学院高等学校,神奈川,香取,既存
フェリス女学院中学校,神奈川,香取,既存
ユニコーンプロジェクト（港区・大田区）,東京,香取,既存
わせがく高等学校 稲毛海岸キャンパス,千葉,川合,既存
愛知県立豊田高等学校,愛知,井上,既存
愛知県立豊田東高等学校,愛知,井上,既存
安田学園高等学校,東京,早﨑,既存
伊勢原市立伊勢原中学校,神奈川,SD,既存
伊勢原市立成瀬小学校,神奈川,香取,既存
羽田国際高等学校,東京,関,既存
英明フロンティア高等学校,東京,早﨑,既存
横須賀学院高等学校,神奈川,SD,既存
横浜市立横浜吉田中学校,神奈川,香取,既存
横浜市立鴨志田第一小学校,神奈川,早﨑,既存
横浜市立金沢小学校,神奈川,香取,既存
横浜市立上永谷中学校,神奈川,香取,既存
横浜市立城郷小学校,神奈川,早﨑,既存
横浜市立川島小学校,神奈川,香取,既存
横浜市立中山中学校,神奈川,SD,既存
横浜市立中川西中学校,神奈川,香取,既存
横浜市立都岡小学校,神奈川,香取,既存
横浜市立本牧小学校,神奈川,香取,既存
横浜翠陵高等学校,神奈川,香取,既存
横浜富士見丘学園高等学校,神奈川,丸谷,既存
鴎友学園女子高等学校,東京,早﨑,既存
鴎友学園女子中学校,東京,早﨑,既存
下北沢成徳高等学校,東京,丸谷,既存
我孫子市立湖北台西小学校,千葉,川合,既存
株式会社ギークナウ,東京,,既存
株式会社シテコベ,神奈川,井上,既存
株式会社ステップ,神奈川,井上,既存
株式会社スマイル,神奈川,井上,既存
株式会社ヨコソー,神奈川,井上,既存
株式会社建新,神奈川,井上,既存
株主向けイベント8/12.13講師派遣,東京,井上,既存
鎌ケ谷市立五本松小学校,千葉,深町,既存
茅ヶ崎市立鶴嶺中学校,神奈川,SD,既存
関東第一高等学校,東京,香取,既存
吉祥女子中学校,東京,井上,既存
橘学苑高等学校,神奈川,SD,既存
京華高等学校,東京,早﨑,既存
京華女子高等学校,東京,早﨑,既存
京浜急行電鉄株式会社,神奈川,井上,既存
共栄学園高等学校,東京,田中,既存
共立女子第二高等学校,東京,田中,既存
駒沢学園女子高等学校,東京,香取,既存
御蔵島村立御蔵島小学校,東京,香取,既存
御殿場市立南中学校,静岡,SD,既存
御殿場西高等学校,静岡,田中,既存
佼成学園女子高等学校,東京,丸谷,既存
広尾学園小石川中学校,東京,丸谷,既存
広尾学園中学校,東京,丸谷,既存
江戸川区立第六葛西小学校,東京,香取,既存
港区立青山中学校,東京,早﨑,既存
国府台女子学院高等部,千葉,深町,既存
鵠沼高等学校,神奈川,三田,既存
佐倉市立和田小学校,千葉,川合,既存
桜美林大学,東京,早﨑,既存
桜美林中学校,東京,早﨑,既存
三浦学苑高等学校,神奈川,三田,既存
四街道市立四街道北中学校,千葉,川合,既存
実践女子学園高等学校,東京,香取,既存
芝中学校,東京,深町,既存
十文字中学校,東京,香取,既存
小金井市立小金井第一小学校,東京,香取,既存
小金井市立南中学校,東京,香取,既存
小田原市立片浦小学校,神奈川,香取,既存
小平市立小平第三中学校,東京,香取,既存
昭島市立共成小学校,東京,香取,既存
昭和学院中学校,千葉,関,既存
昭和第一学園高等学校,東京,香取,既存
松戸市立常盤平中学校,千葉,SD,既存
沼津市立浮島中学校,静岡,井上,既存
湘南学院高等学校,神奈川,三田,既存
城南静岡高等学校,静岡,井上,既存
常葉大学附属常葉高等学校,静岡,SD,既存
常葉大学附属常葉中学校,静岡,井上,既存
新渡戸文化小学校,東京,香取,既存
神奈川県立鎌倉支援学校,神奈川,香取,既存
神奈川県立茅ケ崎高等学校,神奈川,早﨑,既存
神奈川県立元石川高等学校,神奈川,井上,既存
神奈川県立追浜高等学校,神奈川,香取,既存
神奈川大学,神奈川,早﨑,既存
秦野市立北小学校,神奈川,香取,既存
秦野市立本町小学校,神奈川,香取,既存
裾野市立東中学校,静岡,井上,既存
世田谷学園中学校,東京,丸谷,既存
世田谷区立奥沢中学校,東京,井上,既存
世田谷区立九品仏小学校,東京,香取,既存
成田高等学校付属小学校,千葉,川合,既存
成蹊大学,東京,早﨑,既存
成蹊中学校,東京,早﨑,既存
清水国際高等学校,静岡,井上,既存
清水町立清水中学校,静岡,井上,既存
清水町立南中学校,静岡,井上,既存
聖学院高等学校,東京,深町,既存
聖学院中学校,東京,深町,既存
聖徳学園小学校,東京,香取,既存
西東京市立住吉小学校,東京,井上,既存
西東京市立保谷第二小学校,東京,井上,既存
西東京市立明保中学校,東京,関,既存
青梅市立泉中学校,東京,香取,既存
青稜高等学校,東京,岩崎,既存
青稜中学校,東京,岩崎,既存
静岡サレジオ中学校,静岡,井上,既存
静岡学園高等学校,静岡,井上,既存
静岡学園中学校,静岡,井上,既存
静岡県立新居高等学校,静岡,井上,既存
静岡県立裾野高等学校,静岡,井上,既存
静岡県立静岡高等学校,静岡,SD,既存
静岡県立藤枝東高等学校,静岡,井上,既存
静岡県立浜松湖東高等学校,静岡,井上,既存
静岡県立浜松商業高等学校,静岡,井上,既存
静岡県立浜松大平台高等学校,静岡,井上,既存
静岡県立浜名高等学校,静岡,井上,既存
静岡県立富岳館高等学校,静岡,井上,既存
静岡市立観山中学校,静岡,井上,既存
静岡市立城山中学校,静岡,井上,既存
静岡市立南中学校,静岡,井上,既存
静岡女子高等学校,静岡,井上,既存
静岡大学教育学部附属静岡中学校,静岡,井上,既存
静岡大学教育学部附属島田中学校,静岡,SD,既存
千代田区立麹町小学校,東京,早﨑,既存
千代田高等学校,東京,早﨑,既存
千葉県立湖北特別支援学校,千葉,SD,既存
千葉県立松戸向陽高等学校,千葉,川合,既存
千葉県立東葛飾高等学校,千葉,深町,既存
千葉県立東葛飾中学校,千葉,深町,既存
千葉県立白井高等学校,千葉,川合,既存
千葉県立茂原樟陽高等学校,千葉,川合,既存
千葉市立高浜海浜小学校,千葉,川合,既存
千葉市立西小中台小学校,千葉,川合,既存
千葉日本大学第一高等学校,千葉,大野,既存
千葉日本大学第一中学校,千葉,大野,既存
川村高等学校,東京,丸谷,既存
川村中学校,東京,SD,既存
浅野高等学校,神奈川,丸谷,既存
船橋市立夏見台小学校,千葉,香取,既存
船橋市立海神中学校,千葉,香取,既存
船橋市立習志野台中学校,千葉,川合,既存
船橋市立坪井中学校,千葉,野崎,既存
創価中学校,東京,早﨑,既存
相模原市立谷口台小学校,神奈川,香取,既存
相模原市立内郷中学校,神奈川,香取,既存
相模女子大学高等部,神奈川,早﨑,既存
足立区立綾瀬小学校,東京,香取,既存
足立区立千寿桜小学校,東京,香取,既存
足立区立東綾瀬小学校,東京,香取,既存
大妻中野高等学校,東京,関,既存
大妻中野中学校,東京,SD,既存
大田区立志茂田中学校,東京,香取,既存
大田区立池上第二小学校,東京,井上,既存
大田区立徳持小学校,東京,井上,既存
大田区立糀谷中学校,東京,香取,既存
大島町立第三中学校,東京,香取,既存
中央学院大学中央高等学校,東京,早﨑,既存
中央区立京橋築地小学校,東京,香取,既存
中村高等学校,東京,香取,既存
中村中学校,東京,香取,既存
町田市立忠生小学校,東京,井上,既存
調布市立布田小学校,東京,香取,既存
杜若高等学校,愛知,林,既存
東海大学付属静岡翔洋高等学校,静岡,井上,既存
東京女学館高等学校,東京,香取,既存
東京大学教育学部附属中等教育学校,東京,井上,既存
東京電機大学高等学校,東京,井上,既存
東京都立芦花高等学校,東京,井上,既存
東京都立王子総合高等学校,東京,井上,既存
東京都立葛飾総合高等学校,東京,香取,既存
東京都立江戸川高等学校,東京,香取,既存
東京都立小金井北高等学校,東京,関,既存
東京都立神津高等学校,東京,香取,既存
東京都立西高等学校,東京,香取,既存
東京都立足立特別支援学校,東京,井上,既存
東京都立大田桜台高等学校,東京,香取,既存
東京都立忍岡高等学校,東京,香取,既存
東京都立白鴎高等学校附属中学校,東京,早﨑,既存
東京都立立川国際中等教育学校,東京,SD,既存
東村山市立久米川小学校,東京,香取,既存
藤村女子高等学校,東京,丸谷,既存
特定非営利活動法人くるくる,愛知,井上,既存
二松学舎大学附属柏中学校,千葉,香取,既存
日出学園中学校,千葉,野崎,既存
日本体育大学荏原高等学校,東京,香取,既存
日本体育大学柏高等学校,千葉,深町,既存
日本大学鶴ヶ丘高等学校,東京,関,既存
柏市立酒井根小学校,千葉,川合,既存
柏市立酒井根中学校,千葉,川合,既存
柏市立柏の葉中学校,千葉,深町,既存
函南町立東中学校,静岡,井上,既存
函南町立函南中学校,静岡,井上,既存
八王子市立中野北小学校,東京,香取,既存
八王子市立由木西小学校,東京,香取,既存
八千代市立勝田台小学校,千葉,川合,既存
磐田東高等学校,静岡,井上,既存
品川区立小山台小学校,東京,香取,既存
品川区立芳水小学校,東京,香取,既存
浜松市立可美中学校,静岡,井上,既存
不二聖心女子学院中学校,静岡,SD,既存
富士市立吉原第二中学校,静岡,井上,既存
富士市立高等学校,静岡,井上,既存
富士市立富士南中学校,静岡,井上,既存
府中市立府中第二中学校,東京,香取,既存
平塚市立山下小学校,神奈川,香取,既存
宝仙学園中学校,東京,早﨑,既存
法政大学高等学校,東京,早﨑,既存
豊田市(豊田市高校生アントレプレナーシップ教育実証事業業務委),愛知,井上,既存
豊田市立逢妻中学校,愛知,SD,既存
豊田市立井郷中学校,愛知,SD,既存
豊田市立御蔵小学校,愛知,井上,既存
豊田市立小原中部小学校,愛知,井上,既存
豊田市立小渡小学校,愛知,井上,既存
豊田大谷高等学校,愛知,SD,既存
豊島岡女子学園中学校,東京,井上,既存
豊島学院高等学校,東京,香取,既存
豊島区立仰高小学校,東京,香取,既存
豊島区立椎名町小学校,東京,香取,既存
北鎌倉女子学園高等学校,神奈川,香取,既存
北区立袋小学校,東京,香取,既存
北区立梅木小学校,東京,香取,既存
墨田区立中川小学校,東京,井上,既存
明治大学付属八王子中学校,東京,SD,既存
茂原市立南中学校,千葉,SD,既存
木更津市立八幡台小学校,千葉,川合,既存
理系ブロッサム,東京,香取,既存
陸上自衛隊高等工科学校,神奈川,関,既存
練馬区立早宮小学校,東京,香取,既存
練馬区立南町小学校,東京,香取,既存
和洋国府台女子高等学校,千葉,田口,既存
CLARK SMART芦屋,,平見,既存
CLARK SMART大阪天王寺,大阪,平見,既存
CLARK SMART大阪梅田,大阪,平見,既存
CLARK SMART名古屋,愛知,平見,既存
Kiddy四日市あかつき,三重,平見,既存
屋久島おおぞら高等学校,愛知,SD,既存
アイ・ピー・ファイン株式会社,奈良,吉澤,既存
うつほの杜学園小学校,和歌山,猿山,既存
クラーク記念国際高等学校 岐阜キャンパス,岐阜,平見,既存
クラーク記念国際高等学校 三田キャンパス,兵庫,平見,既存
クラーク記念国際高等学校 神戸三宮キャンパス,兵庫,平見,既存
クラーク記念国際高等学校 西神中央キャンパス,兵庫,平見,既存
クラーク記念国際高等学校京都キャンパス,京都,平見,既存
クラーク記念国際高等学校姫路キャンパス,兵庫,平見,既存
クラーク国際中等部 名古屋キャンパス,愛知,平見,既存
つなぐる株式会社,奈良,吉澤,既存
ユーラスエナジーホールディングス,東京,本田,既存
ユーラス八雲ソーラーパーク合同会社,北海道,本田,既存
愛西市立永和中学校,愛知,平見,既存
愛西市立開治小学校,愛知,平見,既存
愛西市立市江小学校,愛知,平見,既存
愛西市立八開中学校,愛知,平見,既存
愛知教育大学,愛知,平見,既存
愛知県立一宮南高等学校,愛知,SD,既存
愛知県立刈谷高等学校附属中学校,愛知,SD,既存
愛知県立犬山高等学校,愛知,平見,既存
愛知県立犬山総合高等学校,愛知,松岡,既存
愛知県立松平高等学校,愛知,平見,既存
愛知県立知立東高等学校,愛知,SD,既存
愛知県立津島高等学校,愛知,SD,既存
愛知県立東海樟風高等学校,愛知,宮北,既存
愛媛県立弓削高等学校,愛媛,平見,既存
安城市立明和小学校,愛知,平見,既存
伊丹市立稲野小学校,兵庫,平見,既存
伊丹市立北中学校,兵庫,猿山,既存
伊予市立伊予中学校,愛媛,平見,既存
一般社団法人奈良発明協会,奈良,吉澤,既存
稲沢市立丸甲小学校,愛知,平見,既存
茨木市立三島中学校,大阪,平見,既存
宇和島市立吉田中学校,愛媛,平見,既存
宇和島市立三間中学校,愛媛,平見,既存
羽島郡岐南町立東小学校,岐阜,平見,既存
英心高等学校,三重,吉澤,既存
英心高等学校桔梗が丘校,三重,吉澤,既存
越前市武生第六中学校,福井,SD,既存
王寺町立王寺南義務教育学校,奈良,宮北,既存
王寺町立王寺北義務教育学校,奈良,宮北,既存
岡崎市立六名小学校,愛知,平見,既存
下呂市立竹原小学校,岐阜,平見,既存
加茂郡七宗町立神渕小学校,岐阜,平見,既存
可児郡御嵩町立伏見小学校,岐阜,平見,既存
河内長野市立長野中学校,大阪,猿山,既存
華頂女子高等学校,京都,松岡,既存
海星高等学校,三重,菅澤,既存
海星中学校,三重,菅澤,既存
学校法人生光学園生光学園中学校,徳島,植村,既存
株式会社 類設計室,奈良,吉澤,既存
株式会社チュチュアンナ,奈良,吉澤,既存
株式会社井上天極堂,奈良,吉澤,既存
株式会社高木包装,奈良,吉澤,既存
株式会社創喜,奈良,吉澤,既存
刈谷市立富士松北小学校,愛知,,既存
関市立下有知小学校,岐阜,平見,既存
関市立桜ヶ丘中学校,岐阜,平見,既存
関西創価中学校,大阪,植村,既存
関西福祉科学大学高等学校,大阪,植村,既存
岸和田市立春木小学校,大阪,平見,既存
岩倉市立岩倉南小学校,愛知,平見,既存
岐阜県立益田清風高等学校,岐阜,本田,既存
岐阜県立郡上北高等学校,岐阜,本田,既存
紀の川市立粉河中学校,和歌山,平見,既存
亀岡市立詳徳中学校,京都,平見,既存
亀岡市立大井小学校,京都,平見,既存
京都橘高等学校,京都,松岡,既存
京都共栄学園高等学校,京都,松岡,既存
京都共栄学園中学校,京都,松岡,既存
京都教育大学附属高等学校,京都,松岡,既存
